"cycle","soh_true","soh_pred"
"1","0.9282437562942505","0.9161731600761414"
"2","0.9231635928153992","0.9158492684364319"
"3","0.9176746010780334","0.9152908325195312"
"4","0.917631208896637","0.9147250652313232"
"5","0.9173228740692139","0.9141596555709839"
"6","0.9178308844566345","0.9138568043708801"
"7","0.9175729751586914","0.9134125709533691"
"8","0.9128783941268921","0.9128530621528625"
"9","0.9123868942260742","0.9123942255973816"
"10","0.9123067259788513","0.9119261503219604"
"11","0.9123095870018005","0.9113547801971436"
"12","0.9071010947227478","0.9110715389251709"
"13","0.9068758487701416","0.9106214046478271"
"14","0.9067203998565674","0.9100741147994995"
"15","0.9012987613677979","0.9095087051391602"
"16","0.9010534882545471","0.9089675545692444"
"17","0.9012898802757263","0.9085553884506226"
"18","0.9015341997146606","0.9080625176429749"
"19","0.9013890027999878","0.9076531529426575"
"20","0.9235129356384277","0.9074347019195557"
"21","0.9237088561058044","0.9072294235229492"
"22","0.9180887937545776","0.9065056443214417"
"23","0.9128903746604919","0.9057878851890564"
"24","0.9125567078590393","0.905265748500824"
"25","0.9127907752990723","0.9047468900680542"
"26","0.9070156216621399","0.9041112065315247"
"27","0.9073848128318787","0.903600811958313"
"28","0.9069845080375671","0.9030589461326599"
"29","0.9013826847076416","0.9025706052780151"
"30","0.9020385146141052","0.9020735025405884"
"31","0.9259013533592224","0.8966873288154602"
"32","0.9153520464897156","0.8970395922660828"
"33","0.9099520444869995","0.8936975598335266"
"34","0.9046540260314941","0.8878682851791382"
"35","0.9023049473762512","0.8840540051460266"
"36","0.8996886014938354","0.8881681561470032"
"37","0.8942216634750366","0.8841062188148499"
"38","0.8914615511894226","0.8799986839294434"
"39","0.8865169286727905","0.8743686079978943"
"40","0.8865188360214233","0.8754730820655823"
"41","0.8839359879493713","0.8815433979034424"
"42","0.8811574578285217","0.8826451301574707"
"43","0.8838085532188416","0.8954424262046814"
"44","0.8813343048095703","0.8769546747207642"
"45","0.8758650422096252","0.8673509359359741"
"46","0.8709248900413513","0.8627132773399353"
"47","0.8680457472801208","0.859720766544342"
"48","0.8968120217323303","0.8896709084510803"
"49","0.8915945291519165","0.8861671686172485"
"50","0.8836821913719177","0.8799459338188171"
"51","0.878508985042572","0.8722488880157471"
"52","0.873435378074646","0.86430823802948"
"53","0.8708586096763611","0.8597527146339417"
"54","0.8682112693786621","0.8617323040962219"
"55","0.8631609678268433","0.8561690449714661"
"56","0.8579034209251404","0.8492861986160278"
"57","0.8552667498588562","0.844004213809967"
"58","0.8530072569847107","0.8454959392547607"
"59","0.8501554727554321","0.8493786454200745"
"60","0.8472899198532104","0.8446617126464844"
"61","0.8424515724182129","0.8384592533111572"
"62","0.8372369408607483","0.8299717307090759"
"63","0.8372846245765686","0.8330864906311035"
"64","0.8318580985069275","0.8270813822746277"
"65","0.8295069336891174","0.8305740356445312"
"66","0.826927125453949","0.8205419182777405"
"67","0.8213269114494324","0.8143707513809204"
"68","0.8189288377761841","0.8108439445495605"
"69","0.8163674473762512","0.8090137243270874"
"70","0.8138765096664429","0.8060418963432312"
"71","0.811062753200531","0.802981972694397"
"72","0.8056628108024597","0.7991043925285339"
"73","0.8032816648483276","0.796405553817749"
"74","0.800757110118866","0.7942503094673157"
"75","0.7951847314834595","0.7911074161529541"
"76","0.7928944230079651","0.787518322467804"
